ID1,ID2,Distance
11370_2010,11405_2011,0.818806
11067_2002,11106_2003,0.943909
11413_2011,11440_2012,0.79809
11370_2010,11406_2011,0.844745
11023_2001,11060_2002,0.970295
11413_2011,11441_2012,0.8039
11067_2002,11107_2003,0.964823
11000_2001,11033_2001,0.817947
11370_2010,11407_2011,0.840032
11392_2010,11422_2011,0.758328
11423_2011,11459_2012,0.907754
11392_2010,11423_2011,0.76294
11370_2010,11408_2011,0.855121
11392_2010,11424_2011,0.777837
11000_2001,11034_2001,0.812727
11392_2010,11425_2011,0.838388
11370_2010,11409_2011,0.860155
11045_2002,11085_2003,0.925705
11370_2010,11410_2011,0.860155
11413_2011,11442_2012,0.839961
11045_2002,11086_2003,0.970939
11392_2010,11426_2011,0.88477
11000_2001,11035_2001,0.819493
11413_2011,11443_2012,0.859663
11370_2010,11411_2011,0.87788
11403_2011,11404_2011,0.00842492
11333_2009,11334_2009,0.0168981
11358_2009,11359_2009,0.0430026
11333_2009,11335_2009,0.0645703
11403_2011,11405_2011,0.0412311
11333_2009,11336_2009,0.0980718
11358_2009,11360_2010,0.0961427
11403_2011,11406_2011,0.071895
11358_2009,11361_2010,0.121232
11403_2011,11407_2011,0.0905419
11358_2009,11362_2010,0.157462
11333_2009,11337_2009,0.101906
11403_2011,11408_2011,0.100128
11333_2009,11338_2009,0.141249
11358_2009,11363_2010,0.163652
11403_2011,11409_2011,0.102028
11333_2009,11339_2009,0.151373
11358_2009,11364_2010,0.188958
11403_2011,11410_2011,0.102028
11333_2009,11340_2009,0.172223
11358_2009,11365_2010,0.188958
11403_2011,11411_2011,0.143245
11333_2009,11341_2009,0.211098
11403_2011,11412_2011,0.143245
11413_2011,11444_2012,0.866806
11423_2011,11460_2012,0.936495
11413_2011,11445_2012,0.896474
11370_2010,11412_2011,0.87788
11333_2009,11342_2009,0.238111
11403_2011,11413_2011,0.165939
11358_2009,11366_2010,0.226506
11333_2009,11343_2009,0.247568
11403_2011,11414_2011,0.195924
11333_2009,11344_2009,0.261779
11358_2009,11367_2010,0.233387
11403_2011,11415_2011,0.241058
11333_2009,11345_2009,0.276039
11358_2009,11368_2010,0.240442
11403_2011,11416_2011,0.281674
11333_2009,11346_2009,0.292986
11358_2009,11369_2010,0.240442
11403_2011,11417_2011,0.311221
11333_2009,11347_2009,0.300347
11217_2006,11218_2006,0.0377296
11333_2009,11348_2009,0.328461
11403_2011,11418_2011,0.358439
11217_2006,11219_2006,0.0412709
11333_2009,11349_2009,0.33628
11403_2011,11419_2011,0.42264
11358_2009,11370_2010,0.2662
11333_2009,11350_2009,0.362569
11403_2011,11420_2011,0.4619
11358_2009,11371_2010,0.275864
11333_2009,11351_2009,0.398731
11403_2011,11421_2011,0.487429
11217_2006,11220_2006,0.0755526
11333_2009,11352_2009,0.45276
11358_2009,11372_2010,0.285647
11217_2006,11221_2006,0.115274
11333_2009,11353_2009,0.478032
11403_2011,11422_2011,0.536541
11358_2009,11373_2010,0.288073
11403_2011,11423_2011,0.543405
11333_2009,11354_2009,0.477802
11358_2009,11374_2010,0.328303
11403_2011,11424_2011,0.557147
11333_2009,11355_2009,0.487582
11358_2009,11375_2010,0.373658
11403_2011,11425_2011,0.611734
11333_2009,11356_2009,0.555109
11358_2009,11376_2010,0.37938
11403_2011,11426_2011,0.659455
11333_2009,11357_2009,0.562124
11358_2009,11377_2010,0.382032
11403_2011,11427_2011,0.684795
11333_2009,11358_2009,0.620722
11358_2009,11378_2010,0.41604
11403_2011,11428_2011,0.681107
